id,square,price_vnd,latitude,longitude
0,60,4800000,16.081512,108.231324
1,50,4000000,16.067653,108.239332
2,42,5600000,16.090571,108.228008
3,25,4400000,16.067815,108.242571
4,32,3200000,16.042451999999997,108.218286
5,35,12000000,16.051610999999998,108.244349
6,33,7000000,16.057325,108.244382
7,20,4000000,16.041979,108.218305
8,23,5500000,16.038857999999998,108.244358
9,60,10350000,16.050936,108.246761
10,20,2600000,16.081495999999998,108.15948200000001
11,16,2500000,16.063698000000002,108.23828600000002
12,25,5500000,16.045022,108.24131299999999
13,52,9200000,16.056539,108.24216499999999
14,30,7000000,16.081748,108.24268799999999
15,64,12000000,16.026636,108.239026
16,56,10000000,16.061199,108.242496
17,27,10000000,16.041347000000002,108.24456200000002
18,30,5000000,16.073809,108.20876399999999
19,25,5000000,16.043237,108.24003700000002
20,35,6000000,16.080188,108.243903
21,25,6000000,16.050644000000002,108.244518
22,30,6000000,16.04555,108.246664
23,60,10000000,16.050683,108.24449299999999
24,30,7500000,16.051446,108.24359799999999
25,15,3500000,16.069059,108.23255900000001
26,60,10500000,16.050683,108.24449299999999
27,30,7800000,16.050859,108.24441200000001
28,30,6000000,16.051926,108.24240900000001
29,25,5500000,16.043237,108.24003700000002
30,27,4000000,16.014996,108.228177
31,14,1500000,16.031899,108.22343899999998
32,80,6500000,16.094744,108.230589
33,35,3500000,15.980749,108.272627
34,42,7000000,16.066848,108.235602
35,35,9000000,16.051446,108.24359799999999
36,15,4000000,16.061063,108.21186599999999
37,25,5500000,16.052792999999998,108.241596
38,20,2500000,16.080604,108.16051399999999
39,15,1500000,16.043696,108.169696
40,10,1200000,16.076021,108.17313200000001
41,35,5500000,16.090879,108.235616
42,26,7000000,16.034838,108.23168500000001
43,16,1700000,15.99394,108.26518899999999
44,18,2500000,16.031306,108.22231200000002
45,30,5500000,16.032849,108.21471399999999
46,25,7000000,16.038724,108.24799999999999
47,25,2800000,16.037979,108.24788500000001
48,35,5000000,16.059936999999998,108.244297
49,60,19125000,16.062007,108.230418
50,44,8000000,16.026636,108.239026
51,32,5000000,16.062272,108.17471299999998
52,35,5000000,16.062253,108.17475300000001
53,25,4000000,16.062253,108.17475300000001
54,50,9000000,16.049402,108.24404799999999
55,55,12000000,16.046942,108.236783
56,45,6000000,16.066672,108.239967
57,28,3500000,16.047911,108.22193100000001
58,50,3800000,16.043359,108.24160900000001
59,25,3500000,16.032882,108.219475
60,20,3000000,16.06019,108.20851100000002
61,40,2500000,16.080414,108.144768
62,50,9660000,16.048298000000003,108.246753
63,30,5000000,16.045195,108.246785
64,15,3000000,16.086073000000003,108.21641100000001
65,15,1500000,16.063569,108.15771799999999
66,35,7000000,16.071512,108.20093200000001
67,40,3700000,16.032566,108.21378700000001
68,70,11000000,16.081827,108.235082
69,30,6500000,16.048742999999998,108.246524
70,35,8000000,16.04832,108.24190700000001
71,45,12781000,16.063425,108.24040500000001
72,50,10350000,16.070751,108.234524
73,30,5500000,16.049953,108.24435700000001
74,40,5000000,16.03004,108.222558
75,16,1800000,15.979514000000002,108.250027
76,30,3700000,16.103238,108.260673
77,25,2500000,16.050844,108.173502
78,30,7000000,16.073777,108.231105
79,35,5000000,16.062735,108.176855
80,50,10000000,16.049636,108.24476100000001
81,36,9500000,16.073777,108.231105
82,25,4000000,16.062735,108.176855
83,50,14000000,16.067276,108.23419299999999
84,30,7500000,16.069403,108.238841
85,35,8133000,16.050514,108.245396
86,70,11619000,16.081615,108.23473899999999
87,45,10235000,16.050467,108.246921
88,45,17429000,16.074920000000002,108.244179
89,22,5000000,16.044847,108.218676
90,40,6500000,16.060586999999998,108.243498
91,30,8000000,16.069403,108.238841
92,60,5000000,16.042451999999997,108.218286
93,35,7475000,16.081017000000003,108.24458600000001
94,25,5000000,16.055441000000002,108.243597
95,15,1800000,16.050838,108.241023
96,35,10500000,16.038848,108.246843
97,32,4000000,16.038144,108.24646299999999
98,35,9000000,16.067695,108.239411
99,20,2000000,16.068903,108.15405
100,35,7000000,16.049201,108.246284
101,35,9000000,16.049304,108.23433899999999
102,25,3800000,16.057903,108.238476
103,30,6000000,16.049719,108.245078
104,20,2000000,16.075155,108.171223
105,45,8000000,16.04735,108.24198500000001
106,28,5000000,16.076085,108.24408600000001
107,35,5000000,16.073849,108.24098500000001
108,40,7000000,16.033368,108.220436
109,42,7000000,16.068089,108.23760800000001
110,18,3100000,16.054673,108.20584299999999
111,20,3500000,16.030548,108.225523
112,30,8000000,16.055220000000002,108.24113500000001
113,18,3000000,16.061245,108.17543500000001
114,40,1700000,16.084284,108.21705
115,20,1000000,16.070154000000002,108.146971
116,24,1700000,16.10115,108.132129
117,35,10000000,16.046942,108.236783
118,30,6000000,16.049135999999997,108.208903
119,32,6500000,16.04474,108.21876499999999
120,40,6500000,16.038951,108.24291299999999
121,55,10000000,16.048787,108.241064
122,40,8000000,16.050345999999998,108.23691799999999
123,24,2500000,16.026734,108.245522
124,18,3200000,16.031556,108.214758
125,35,5000000,16.056079,108.21057900000001
126,50,8000000,16.069045000000003,108.235258
127,28,1800000,16.044547,108.16466100000001
128,35,4500000,16.07589,108.24150700000001
129,50,6500000,16.042451999999997,108.218286
130,30,9000000,16.055220000000002,108.24113500000001
131,30,4500000,16.051074,108.24501699999999
132,55,12500000,16.072264,108.24252
133,35,9500000,16.046942,108.236783
134,25,9295000,16.063425,108.24040500000001
135,40,7500000,16.032943,108.230258
136,52,8000000,16.050038,108.244759
137,30,3500000,16.04291,108.21085900000001
138,33,5500000,16.026897,108.243478
139,40,9000000,16.067815,108.242571
140,40,10457000,16.050344,108.24688300000001
141,20,700000,16.074863,108.13396200000001
142,20,1300000,16.073147,108.13683200000001
143,20,8050000,16.041347000000002,108.24456200000002
144,50,12781000,16.046395,108.24615700000001
145,20,4000000,16.050748000000002,108.244505
146,30,2000000,16.066701000000002,108.145804
147,17,1800000,16.043745,108.213848
148,74,16000000,16.080271,108.218274
149,70,12650000,16.065328,108.240424
150,36,4000000,16.042752,108.213982
151,84,9000000,16.068579,108.23428600000001
152,25,2500000,16.043542000000002,108.17153799999998
153,15,750000,16.075639000000002,108.13266899999999
154,16,2000000,16.030066,108.244804
155,15,3500000,16.068134,108.23488600000002
156,45,8000000,16.05206,108.24538799999999
157,30,9000000,16.068286999999998,108.241453
158,70,10350000,16.04879,108.247304
159,45,12781000,16.063425,108.24040500000001
160,45,6000000,16.073031,108.24223899999998
161,35,7000000,16.074138,108.241525
162,30,9000000,16.069292,108.235404
163,25,700000,16.102076,108.13511399999999
164,45,8000000,16.049554,108.244335
165,30,4000000,16.073849,108.24098500000001
166,25,7000000,16.042474,108.247047
167,42,7000000,16.045509,108.21074099999998
168,40,7500000,16.053363,108.24511499999998
169,33,8200000,16.051592000000003,108.24426000000001
170,16,1500000,16.05583,108.210699
171,60,11040000,16.04875,108.24588500000002
172,40,6000000,16.080095,108.216696
173,30,4500000,16.031556,108.214758
174,30,6000000,16.070235999999998,108.22058100000001
175,18,2000000,16.059829,108.24316699999999
176,32,5000000,16.04474,108.21876499999999
177,60,11619000,16.050331,108.24468999999999
178,40,6000000,16.039739,108.21961399999999
179,40,6000000,16.049173,108.24635
180,15,2000000,16.03284,108.21599499999999
181,50,10350000,16.036566,108.25098200000001
182,70,8000000,16.101221,108.24650700000001
183,50,7728000,16.046395,108.24615700000001
184,24,2000000,16.081856,108.160596
185,30,2500000,16.070145999999998,108.17064199999999
186,35,8000000,16.050518,108.24495300000001
187,30,3200000,16.04533,108.246248
188,20,2400000,16.032467,108.22616399999998
189,50,13000000,16.052064,108.24396999999999
190,70,9000000,16.046325,108.209603
191,30,4200000,16.043423999999998,108.24301799999999
192,22,1000000,16.070138,108.17139099999999
193,30,2500000,16.021511,108.213101
194,15,1500000,16.035219,108.212225
195,30,1500000,16.043295,108.242228
196,20,2000000,16.035697,108.244114
197,20,3000000,16.040758,108.24404299999999
198,38,8947000,16.088359,108.24621
199,30,4000000,16.053203,108.244605
200,32,10350000,16.070593,108.23488400000001
201,35,6500000,16.033257,108.220556
202,45,8700000,16.050546,108.24689
203,22,7000000,16.085924,108.21536499999999
204,30,5000000,16.038951,108.24291299999999
205,40,5000000,16.008777,108.21806200000002
206,32,6700000,16.045509,108.21074099999998
207,25,3000000,16.030707,108.211801
208,5,8000000,16.048655,108.245465
209,30,7500000,16.064055,108.230589
210,55,8000000,16.055441000000002,108.243597
211,45,11000000,16.06581,108.23015600000001
212,40,6500000,16.08561,108.24645
213,35,4000000,16.090096,108.238148
214,25,3100000,16.079198,108.23308899999999
215,20,2200000,16.047765,108.236658
216,40,5000000,16.036510999999997,108.245434
217,40,8000000,16.036580999999998,108.244042
218,45,8000000,16.036510999999997,108.245434
219,20,2000000,16.055916,108.210783
220,30,6000000,16.078587,108.220322
221,20,500000,16.075353,108.143507
222,35,6200000,16.062064000000003,108.23783799999998
223,30,2000000,16.053379999999997,108.15686799999999
224,70,13800000,16.063371,108.23080700000001
225,40,10225000,16.049595999999998,108.24462700000001
226,60,8831000,16.046937,108.24627199999999
227,36,8050000,16.053632,108.241003
228,35,5500000,16.057676999999998,108.244258
229,30,9295000,16.074468,108.240967
230,75,13800000,16.050651000000002,108.24685900000001
231,40,9993000,16.049595999999998,108.24462700000001
232,33,7785000,16.088359,108.24621
233,75,20915000,16.041977,108.24644199999999
234,35,9295000,16.047741000000002,108.243098
235,40,7360000,16.048274,108.24675800000001
236,35,16267000,16.040618,108.24651999999999
237,45,6500000,16.057676999999998,108.244258
238,30,4200000,16.090879,108.235616
239,35,8500000,16.053151,108.24421699999999
240,30,3200000,16.034777,108.216747
241,40,8500000,16.051926,108.24240900000001
242,45,7500000,16.066672,108.239967
243,40,5000000,16.094744,108.230589
244,15,1500000,16.055711,108.217224
245,30,3000000,16.050829999999998,108.17232
246,35,7200000,16.053162,108.24593899999999
247,20,1600000,16.019208,108.196155
248,40,9000000,16.053162,108.24593899999999
249,17,1500000,16.031958,108.24361699999999
250,66,18242000,16.03332,108.239574
251,66,20984000,16.03332,108.239574
